goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,15.265394546973493,13.488335564289509,17.10425343662186
approaching,2.A,Microbial Vaccines,13.547256398572186,11.974793280549859,15.153787783853572
approaching,2.B,Plant Gene Extracts,14.907355509987084,13.859308973190554,15.941818893825472
approaching,2.C,Anim. Gene Extracts,11.86233576365155,10.050894565960357,13.548153765094552
approaching,2.D,Human Gene Editing,14.852342978658767,12.968194396977294,17.08357218804587
approaching,3.A,Req. for Experiment,0.03333333333333333,0.0,0.1
approaching,3.B,Req. for H.G.E,0.1,0.0,0.3
approaching,3.C,Req. for Assistance,0.6746031746031745,0.14285714285714285,1.3682936507936503
approaching,3.D,Chat w/ other RSRs.,0.39924242424242423,0.08333333333333331,0.8151515151515152
approaching,4.A,Meth. Analysis Low,0.7873015873015872,0.26666666666666666,1.4175396825396822
approaching,4.B,Meth. Analysis Med.,12.995304549251914,11.539012303485991,14.513030160628837
approaching,4.C,Meth. Analysis High,14.57552973342447,12.255815343282448,17.097365952760686
avoidance,1.A,Data Collection,17.77375859434683,16.51138968466175,19.10669913419914
avoidance,2.A,Microbial Vaccines,15.608700449876919,14.547546791443855,16.66280753968254
avoidance,2.B,Plant Gene Extracts,13.765034801799505,12.481489527629229,14.970433430948141
avoidance,2.C,Anim. Gene Extracts,13.925294966471434,12.45350861556744,15.358624639249637
avoidance,2.D,Human Gene Editing,14.786709532297762,13.607339890501654,15.836071322468383
avoidance,3.A,Req. for Experiment,0.4,0.0,1.0666666666666667
avoidance,3.B,Req. for H.G.E,0.42751039809863345,0.1,0.8217067736185383
avoidance,3.C,Req. for Assistance,0.675,0.13333333333333333,1.3833333333333335
avoidance,3.D,Chat w/ other RSRs.,0.3271708683473389,0.03333333333333333,0.7307352941176459
avoidance,4.A,Meth. Analysis Low,0.6555555555555556,0.1111111111111111,1.4224999999999985
avoidance,4.B,Meth. Analysis Med.,15.083375774552241,13.607997092776506,16.59160189075631
avoidance,4.C,Meth. Analysis High,6.571889058653764,4.710335285629403,8.743071789321789
