goal,action,action_abbr,proportion_mean,ci_low,ci_high
approaching,1.A,Data Collection,9.800108225108225,7.500446428571432,12.23760010822511
approaching,2.A,Microbial Vaccines,13.8767316017316,11.33892857142857,16.605422077922075
approaching,2.B,Plant Gene Extracts,26.17153679653679,23.103533549783545,29.439250541125535
approaching,2.C,Anim. Gene Extracts,5.850432900432899,4.077343073593073,7.844788961038962
approaching,2.D,Human Gene Editing,29.08538961038961,24.714972943722948,34.03294101731601
approaching,3.A,Req. for Experiment,0.18333333333333335,0.03333333333333333,0.38333333333333336
approaching,3.B,Req. for H.G.E,0.3575757575757576,0.0,0.8484848484848484
approaching,3.C,Req. for Assistance,0.6393939393939394,0.06666666666666667,1.378939393939393
approaching,3.D,Chat w/ other RSRs.,0.16666666666666663,0.0,0.49999999999999994
approaching,4.A,Meth. Analysis Low,0.34285714285714286,0.0,0.8857142857142856
approaching,4.B,Meth. Analysis Med.,11.591774891774891,8.366555735930737,15.18363095238095
approaching,4.C,Meth. Analysis High,1.934199134199134,0.8578679653679655,3.155898268398268
avoidance,1.A,Data Collection,30.819666324014147,28.284935963794656,33.49673030471943
avoidance,2.A,Microbial Vaccines,15.58461393678785,13.602320016939581,17.53071029513965
avoidance,2.B,Plant Gene Extracts,17.389497941671852,15.137568895476505,19.574972243939637
avoidance,2.C,Anim. Gene Extracts,7.722810884767407,5.837145215895214,9.702894961318876
avoidance,2.D,Human Gene Editing,19.026040143431445,17.552437664992006,20.46976441734594
avoidance,3.A,Req. for Experiment,0.627020202020202,0.09090909090909091,1.415909090909091
avoidance,3.B,Req. for H.G.E,0.620600655383264,0.17786561264822132,1.1637883010709091
avoidance,3.C,Req. for Assistance,2.8285653959567,1.419533926218709,4.5750298192146
avoidance,3.D,Chat w/ other RSRs.,0.0,0.0,0.0
avoidance,4.A,Meth. Analysis Low,0.2833333333333333,0.0,0.8166666666666665
avoidance,4.B,Meth. Analysis Med.,4.619552669552669,2.8853192640692633,6.550327380952377
avoidance,4.C,Meth. Analysis High,0.4782985130811218,0.09090909090909091,0.9412911725955203
